userid,name,password,rank,class,address,admin
teacher,teacher,teacher,0,0,address,1
0K01001,AA BB,0K01001,4,1,address,0
0K01002,BB CC,0K01002,4,1,address,0
0K01003,DD EE,0K01003,4,1,address,0
0K01004,EE FF,0K01004,4,1,address,0
0K01005,FF GG,0K01005,4,1,address,0
0K01006,GG HH,0K01006,4,1,address,0
0K01007,HH II,0K01007,4,1,address,0
0K01008,II JJ,0K01008,4,1,address,0
0K01009,JJ KK,0K01009,4,1,address,0
0K01010,KK LL,0K01010,4,1,address,0
0K01011,LL MM,0K01011,4,1,address,0
0K01012,MM NN,0K01012,4,1,address,0
0K01013,NN OO,0K01013,4,1,address,0
0K01014,OO PP,0K01014,4,1,address,0
0K01015,PP QQ,0K01015,4,1,address,0
0K01016,QQ RR,0K01016,4,1,address,0
0K01017,RR SS,0K01017,4,1,address,0
0K01018,SS TT,0K01018,4,1,address,0
0K01019,TT UU,0K01019,4,1,address,0
0K01020,UU VV,0K01020,4,1,address,0
